OPEID,School Name,Risk Factor,Borrowing Risk,ELIGIND,CERTCD,T & C,Ethnic Class,% Completions Any School,% Completions Same School,% Independent Borrower Count,% Dependent Borrower Count,Median Independent Student AGI,% Independent Borrowers with AGI < $30K,Median Dependent Parent AGI,% Dependent Borrowers with AGI < $30K,% Borrowers with a Pell Grant,% Borrowers without a Pell Grant,Median Age of Dependent Borrowers at Maturity,Median Age of Independent Borrowers at Maturity,Mean Balance,Median Balance,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,Overall Outstanding Principal Balance at Time Entering Repayment (FY 2009),Overall Borrower Count,Overall Outstanding Principal Balance 5 YR Cohort (FY 2014),Overall Outstanding Principal Balance 4 YR Cohort (FY 2013),Overall Outstanding Principal Balance 3 YR Cohort (FY 2012),Overall Outstanding Principal Balance 2 YR Cohort (FY 2011),Overall Outstanding Principal Balance 1 YR Cohort (FY 2010),Overall Repayment Rate 5 YR Cohort (FY 2014),Overall Repayment Rate 4 YR Cohort (FY 2013),Overall Repayment Rate 3 YR Cohort (FY 2012),Overall Repayment Rate 2 YR Cohort (FY 2011),Overall Repayment Rate 1 YR Cohort (FY 2010),% Increased Balance Borrowers 2013-2014,% Increased Balance Borrowers 2012-2013,% Increased Balance Borrowers 2011-2012,% Increased Balance Borrowers 2010-2011,% Increased Balance Borrowers 2009-2010,Defaulted Balance 2013-14,Defaulted Balance 2012-13,Defaulted Balance 2011-12,Defaulted Balance 2010-11,Defaulted Balance 2009-10,In School Military Balance 2013-14,In School Military Balance 2012-13,In School Military Balance 2011-12,In School Military Balance 2010-11,In School Military Balance 2009-10,Death Disability Balance 2013-14,Death Disability Balance 2012-13,Death Disability Balance 2011-12,Death Disability Balance 2010-11,Death Disability Balance 2009-10,% Deferment or Forbearance More than 2 Months 2013-2014,% Deferment or Forbearance More than 2 Months 2012-2013,% Deferment or Forbearance More than 2 Months 2011-2012,% Deferment or Forbearance More than 2 Months 2010-2011,% Deferment or Forbearance More than 2 Months 2009-2010,Overall Borrowers with More than $1 Paid 2013-2014,Overall Median Borrower's Volume Repayment % 2013-2014,Overall Mean Borrower's Volume Repayment % 2013-2014,Overall Dollars Under 14% 2013-2014,Overall Dollars Under 21% 2013-2014
00100200,ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY,0.4375,Less Risk,Y,C,Public 4 Yrs or More,2.00,0.44,0.39,0.51,0.49,13081.00,0.79,31274.00,0.48,0.78,0.22,23.00,27.00,33983.26,26167.50,6656.00,10514.00,14801.00,20215.00,26193.00,33734.00,41992.00,52077.00,67456.00,228333.00,28739891.19,1562.00,27525960.13,27210161.47,27145665.18,28694558.83,28359285.57,0.04,0.05,0.06,0.00,0.01,0.50,0.53,0.60,0.59,0.71,3237320.30,3200087.20,2582293.34,1755911.30,1303170.30,3486447.89,3635123.74,5275123.18,6441527.08,8443348.07,78863.00,63241.00,107286.00,138036.00,141511.00,0.09,0.09,0.09,0.10,0.11,540.00,-0.05,0.04,5852351.64,7415436.40
00100300,FAULKNER UNIVERSITY,0.5625,Moderate Risk,Y,C,PNP 4 Yrs or More,5.00,0.17,0.00,0.81,0.19,21195.00,0.69,49554.50,0.30,0.69,0.31,22.00,31.00,34481.03,25776.00,5500.00,10811.00,16047.00,19747.00,25776.00,32702.00,41464.00,54772.00,76157.00,153956.00,22462567.66,1318.00,19468014.57,19703649.66,20270330.07,21630256.60,21987199.23,0.13,0.12,0.10,0.04,0.02,0.36,0.43,0.50,0.52,0.61,2165190.84,1948665.15,2071430.84,1838496.46,944937.00,1488433.23,1652874.98,2767437.94,3409408.91,4449359.08,73217.76,67852.00,94327.00,72498.00,116274.00,0.06,0.08,0.10,0.10,0.12,660.00,-0.01,0.12,4029830.31,5018043.47
00100400,UNIVERSITY OF MONTEVALLO,0.6875,Most Risk,Y,C,Public 4 Yrs or More,5.00,0.57,0.48,0.46,0.54,15563.00,0.66,57510.00,0.26,0.60,0.40,23.00,27.00,23283.59,19098.00,3851.00,7771.00,10823.00,15587.00,19098.00,23137.00,28099.00,34004.00,46290.00,161546.00,8451198.53,579.00,6352636.88,6602278.06,6897808.02,7549339.71,7762093.94,0.25,0.22,0.18,0.11,0.08,0.24,0.23,0.29,0.34,0.41,1054135.35,1128204.71,1006048.16,879066.47,558916.06,561764.34,696136.26,928636.78,1102225.67,1003546.16,15539.00,9233.11,19185.00,20313.00,23113.00,0.04,0.06,0.07,0.08,0.08,388.00,0.14,0.27,856201.23,1157025.38
00100500,ALABAMA STATE UNIVERSITY,0.5,Less Risk,Y,P,Public 4 Yrs or More,2.00,0.29,0.22,0.46,0.54,14071.00,0.75,23551.50,0.62,0.83,0.17,21.00,28.00,31538.18,22582.00,5248.00,8215.00,12026.00,15936.00,22603.00,29432.00,39558.00,50016.00,67301.00,260035.00,35775101.65,2144.00,34770242.03,34468723.38,34709082.01,36239900.51,35923472.11,0.03,0.04,0.03,-0.01,0.00,0.48,0.51,0.58,0.59,0.74,5565714.17,5111234.96,4506502.38,3685123.89,2743919.00,3981512.07,4960455.60,7859901.61,9375102.00,10408360.09,46133.51,99839.00,40136.00,38579.00,43967.00,0.08,0.09,0.08,0.08,0.10,710.00,-0.07,0.02,7593514.81,9565619.02
00100700,CENTRAL ALABAMA COMMUNITY COLLEGE,0.5625,Moderate Risk,Y,P,Public 2 - 3 Yrs,5.00,0.18,0.11,0.70,0.30,16249.00,0.75,42989.00,0.38,0.81,0.19,22.00,31.00,12499.43,8315.50,2557.00,3597.00,5160.00,6567.00,8329.00,11053.00,14196.00,19193.00,28131.00,95817.00,3331320.73,431.00,2898726.51,2875372.49,3025574.66,3109134.62,3206189.80,0.13,0.13,0.09,0.07,0.04,0.28,0.33,0.36,0.40,0.57,904914.64,870929.52,941059.00,830026.02,521961.00,171078.40,133897.44,352751.09,416008.86,636568.00,55023.13,85171.00,58468.00,39625.00,23906.00,0.05,0.08,0.09,0.09,0.12,242.00,0.00,0.14,517390.57,666555.23
00100800,ATHENS STATE UNIVERSITY,0.375,Less Risk,Y,C,Public 4 Yrs or More,5.00,0.67,0.58,0.81,0.19,27256.00,0.53,59406.50,0.21,0.67,0.33,24.00,32.00,23055.14,18515.00,5466.00,9250.00,11995.00,15284.00,18515.00,22681.00,28031.00,35646.00,46065.00,169793.00,9019211.22,721.00,8011936.72,8101115.28,8274561.28,8194988.56,8342206.86,0.11,0.10,0.08,0.09,0.08,0.26,0.27,0.41,0.27,0.25,943160.61,917918.86,872687.59,540544.06,370315.09,529105.26,519763.91,664095.60,845657.46,826097.02,71788.13,17966.13,10358.00,21944.00,28734.00,0.14,0.20,0.19,0.19,0.18,396.00,0.00,0.12,1479941.31,1908771.78
00100900,AUBURN UNIVERSITY,0.625,More Risk,Y,C,Public 4 Yrs or More,5.00,0.19,0.05,0.43,0.57,10619.00,0.74,77133.00,0.17,0.48,0.52,23.00,27.00,33658.77,21287.00,4891.00,8747.00,13136.00,17085.00,21292.00,26724.00,34716.00,46645.00,79750.00,275059.00,60620997.55,3142.00,38961262.33,41145884.62,44228480.33,51140029.14,54268017.21,0.36,0.32,0.27,0.16,0.10,0.17,0.19,0.22,0.24,0.27,2855718.03,3197227.96,2854296.22,2437995.96,1574112.82,2921998.73,3846005.68,5144845.43,7565653.56,8788011.74,30851.27,24887.00,86141.40,22083.00,22121.00,0.04,0.05,0.04,0.05,0.06,2392.00,0.33,0.38,4422637.83,6123531.03
00101200,BIRMINGHAM-SOUTHERN COLLEGE,0.6875,Most Risk,Y,P,PNP 4 Yrs or More,5.00,0.17,0.00,0.26,0.74,9294.00,1.00,71902.00,0.16,0.53,0.47,23.00,26.00,30145.39,21066.00,4298.00,8343.00,11117.00,16241.00,21119.00,27489.00,33339.00,45913.00,60269.00,181830.00,2380746.07,192.00,1592018.45,1701020.76,1839942.69,2030388.56,2140533.74,0.33,0.29,0.23,0.15,0.10,0.17,0.19,0.19,0.22,0.30,180797.60,192082.49,156126.92,144362.92,77879.00,223970.87,204487.38,290802.98,383550.20,392165.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.09,145.00,0.25,0.36,188108.74,255743.39
00101300,CALHOUN COMMUNITY COLLEGE,0.625,More Risk,Y,P,Public 2 - 3 Yrs,5.00,0.21,0.11,0.60,0.40,21141.50,0.65,52573.50,0.27,0.75,0.25,22.00,31.00,11522.06,7158.00,1750.00,2699.00,3614.00,5250.00,7163.00,9779.00,13160.00,18011.00,27755.00,109740.00,6676455.04,1242.00,5277068.25,5470616.92,5744127.94,6111340.43,6333277.57,0.21,0.18,0.14,0.08,0.05,0.26,0.30,0.37,0.41,0.52,1045541.20,1144157.04,1181658.60,948300.33,525212.33,509743.34,599510.83,834751.79,1052217.01,1213100.95,17693.19,23697.00,21465.00,24832.00,47387.00,0.08,0.09,0.10,0.11,0.12,720.00,0.05,0.22,941933.44,1216118.52
00101500,ENTERPRISE STATE COMMUNITY COLLEGE,0.625,More Risk,Y,C,Public 2 - 3 Yrs,5.00,0.11,0.00,0.65,0.35,15080.00,0.80,50673.00,0.24,0.80,0.20,21.00,30.00,9333.60,4739.00,1372.00,2050.00,2942.00,3653.00,4780.00,6405.00,7442.00,11928.00,20134.00,167064.00,1027865.00,254.00,747025.68,786385.39,852608.29,896507.37,918786.37,0.27,0.24,0.17,0.13,0.11,0.20,0.23,0.30,0.36,0.44,203122.01,220933.01,228467.01,141334.01,93556.01,84705.06,112450.99,103972.55,138890.00,158967.00,0.00,10723.00,9397.00,8868.00,0.00,0.00,0.06,0.06,0.09,0.08,159.00,0.21,0.31,130969.17,168779.85
