OPEID,School Name,Risk Factor,Borrowing Risk,ELIGIND,CERTCD,T & C,Ethnic Class,% Completions Any School,% Completions Same School,% Independent Borrower Count,% Dependent Borrower Count,Median Independent Student AGI,% Independent Borrowers with AGI < $30K,Median Dependent Parent AGI,% Dependent Borrowers with AGI < $30K,% Borrowers with a Pell Grant,% Borrowers without a Pell Grant,Median Age of Dependent Borrowers at Maturity,Median Age of Independent Borrowers at Maturity,Mean Balance,Median Balance,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,Overall Outstanding Principal Balance at Time Entering Repayment (FY 2009),Overall Borrower Count,Overall Outstanding Principal Balance 5 YR Cohort (FY 2014),Overall Outstanding Principal Balance 4 YR Cohort (FY 2013),Overall Outstanding Principal Balance 3 YR Cohort (FY 2012),Overall Outstanding Principal Balance 2 YR Cohort (FY 2011),Overall Outstanding Principal Balance 1 YR Cohort (FY 2010),Overall Repayment Rate 5 YR Cohort (FY 2014),Overall Repayment Rate 4 YR Cohort (FY 2013),Overall Repayment Rate 3 YR Cohort (FY 2012),Overall Repayment Rate 2 YR Cohort (FY 2011),Overall Repayment Rate 1 YR Cohort (FY 2010),% Increased Balance Borrowers 2013-2014,% Increased Balance Borrowers 2012-2013,% Increased Balance Borrowers 2011-2012,% Increased Balance Borrowers 2010-2011,% Increased Balance Borrowers 2009-2010,Defaulted Balance 2013-14,Defaulted Balance 2012-13,Defaulted Balance 2011-12,Defaulted Balance 2010-11,Defaulted Balance 2009-10,In School Military Balance 2013-14,In School Military Balance 2012-13,In School Military Balance 2011-12,In School Military Balance 2010-11,In School Military Balance 2009-10,Death Disability Balance 2013-14,Death Disability Balance 2012-13,Death Disability Balance 2011-12,Death Disability Balance 2010-11,Death Disability Balance 2009-10,% Deferment or Forbearance More than 2 Months 2013-2014,% Deferment or Forbearance More than 2 Months 2012-2013,% Deferment or Forbearance More than 2 Months 2011-2012,% Deferment or Forbearance More than 2 Months 2010-2011,% Deferment or Forbearance More than 2 Months 2009-2010,Overall Borrowers with More than $1 Paid 2013-2014,Overall Median Borrower's Volume Repayment % 2013-2014,Overall Mean Borrower's Volume Repayment % 2013-2014,Overall Dollars Under 14% 2013-2014,Overall Dollars Under 21% 2013-2014
100200,ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY,0.375,Less Risk,Y,C,Public 4 Yrs or More,2,0.44,0.39,0.51,0.49,13081,0.79,31274,0.48,0.78,0.22,23,27,33983.26,26167.5,6656,10514,14801,20215,26193,33734,41992,52077,67456,228333,28739891.19,1562,27525960.13,27210161.47,27145665.18,28694558.83,28359285.57,0.04,0.05,0.06,0,0.01,0.5,0.53,0.6,0.59,0.71,3237320.3,3200087.2,2582293.34,1755911.3,1303170.3,3486447.89,3635123.74,5275123.18,6441527.08,8443348.07,78863,63241,107286,138036,141511,0.09,0.09,0.09,0.1,0.11,540,-0.05,0.04,5852351.64,7415436.4
100300,FAULKNER UNIVERSITY,0.5625,Moderate Risk,Y,C,PNP 4 Yrs or More,5,0.17,0,0.81,0.19,21195,0.69,49554.5,0.3,0.69,0.31,22,31,34481.03,25776,5500,10811,16047,19747,25776,32702,41464,54772,76157,153956,22462567.66,1318,19468014.57,19703649.66,20270330.07,21630256.6,21987199.23,0.13,0.12,0.1,0.04,0.02,0.36,0.43,0.5,0.52,0.61,2165190.84,1948665.15,2071430.84,1838496.46,944937,1488433.23,1652874.98,2767437.94,3409408.91,4449359.08,73217.76,67852,94327,72498,116274,0.06,0.08,0.1,0.1,0.12,660,-0.01,0.12,4029830.31,5018043.47
100400,UNIVERSITY OF MONTEVALLO,0.625,More Risk,Y,C,Public 4 Yrs or More,5,0.57,0.48,0.46,0.54,15563,0.66,57510,0.26,0.6,0.4,23,27,23283.59,19098,3851,7771,10823,15587,19098,23137,28099,34004,46290,161546,8451198.53,579,6352636.88,6602278.06,6897808.02,7549339.71,7762093.94,0.25,0.22,0.18,0.11,0.08,0.24,0.23,0.29,0.34,0.41,1054135.35,1128204.71,1006048.16,879066.47,558916.06,561764.34,696136.26,928636.78,1102225.67,1003546.16,15539,9233.11,19185,20313,23113,0.04,0.06,0.07,0.08,0.08,388,0.14,0.27,856201.23,1157025.38
100500,ALABAMA STATE UNIVERSITY,0.375,Less Risk,Y,P,Public 4 Yrs or More,2,0.29,0.22,0.46,0.54,14071,0.75,23551.5,0.62,0.83,0.17,21,28,31538.18,22582,5248,8215,12026,15936,22603,29432,39558,50016,67301,260035,35775101.65,2144,34770242.03,34468723.38,34709082.01,36239900.51,35923472.11,0.03,0.04,0.03,-0.01,0,0.48,0.51,0.58,0.59,0.74,5565714.17,5111234.96,4506502.38,3685123.89,2743919,3981512.07,4960455.6,7859901.61,9375102,10408360.09,46133.51,99839,40136,38579,43967,0.08,0.09,0.08,0.08,0.1,710,-0.07,0.02,7593514.81,9565619.02
100700,CENTRAL ALABAMA COMMUNITY COLLEGE,0.5625,Moderate Risk,Y,P,Public 2 - 3 Yrs,5,0.18,0.11,0.7,0.3,16249,0.75,42989,0.38,0.81,0.19,22,31,12499.43,8315.5,2557,3597,5160,6567,8329,11053,14196,19193,28131,95817,3331320.73,431,2898726.51,2875372.49,3025574.66,3109134.62,3206189.8,0.13,0.13,0.09,0.07,0.04,0.28,0.33,0.36,0.4,0.57,904914.64,870929.52,941059,830026.02,521961,171078.4,133897.44,352751.09,416008.86,636568,55023.13,85171,58468,39625,23906,0.05,0.08,0.09,0.09,0.12,242,0,0.14,517390.57,666555.23
100800,ATHENS STATE UNIVERSITY,0.25,Less Risk,Y,C,Public 4 Yrs or More,5,0.67,0.58,0.81,0.19,27256,0.53,59406.5,0.21,0.67,0.33,24,32,23055.14,18515,5466,9250,11995,15284,18515,22681,28031,35646,46065,169793,9019211.22,721,8011936.72,8101115.28,8274561.28,8194988.56,8342206.86,0.11,0.1,0.08,0.09,0.08,0.26,0.27,0.41,0.27,0.25,943160.61,917918.86,872687.59,540544.06,370315.09,529105.26,519763.91,664095.6,845657.46,826097.02,71788.13,17966.13,10358,21944,28734,0.14,0.2,0.19,0.19,0.18,396,0,0.12,1479941.31,1908771.78
100900,AUBURN UNIVERSITY,0.75,Most Risk,Y,C,Public 4 Yrs or More,5,0.19,0.05,0.43,0.57,10619,0.74,77133,0.17,0.48,0.52,23,27,33658.77,21287,4891,8747,13136,17085,21292,26724,34716,46645,79750,275059,60620997.55,3142,38961262.33,41145884.62,44228480.33,51140029.14,54268017.21,0.36,0.32,0.27,0.16,0.1,0.17,0.19,0.22,0.24,0.27,2855718.03,3197227.96,2854296.22,2437995.96,1574112.82,2921998.73,3846005.68,5144845.43,7565653.56,8788011.74,30851.27,24887,86141.4,22083,22121,0.04,0.05,0.04,0.05,0.06,2392,0.33,0.38,4422637.83,6123531.03
101200,BIRMINGHAM-SOUTHERN COLLEGE,0.75,Most Risk,Y,P,PNP 4 Yrs or More,5,0.17,0,0.26,0.74,9294,1,71902,0.16,0.53,0.47,23,26,30145.39,21066,4298,8343,11117,16241,21119,27489,33339,45913,60269,181830,2380746.07,192,1592018.45,1701020.76,1839942.69,2030388.56,2140533.74,0.33,0.29,0.23,0.15,0.1,0.17,0.19,0.19,0.22,0.3,180797.6,192082.49,156126.92,144362.92,77879,223970.87,204487.38,290802.98,383550.2,392165,0,0,0,0,0,0,0,0.06,0.06,0.09,145,0.25,0.36,188108.74,255743.39
101300,CALHOUN COMMUNITY COLLEGE,0.625,More Risk,Y,P,Public 2 - 3 Yrs,5,0.21,0.11,0.6,0.4,21141.5,0.65,52573.5,0.27,0.75,0.25,22,31,11522.06,7158,1750,2699,3614,5250,7163,9779,13160,18011,27755,109740,6676455.04,1242,5277068.25,5470616.92,5744127.94,6111340.43,6333277.57,0.21,0.18,0.14,0.08,0.05,0.26,0.3,0.37,0.41,0.52,1045541.2,1144157.04,1181658.6,948300.33,525212.33,509743.34,599510.83,834751.79,1052217.01,1213100.95,17693.19,23697,21465,24832,47387,0.08,0.09,0.1,0.11,0.12,720,0.05,0.22,941933.44,1216118.52
101500,ENTERPRISE STATE COMMUNITY COLLEGE,0.625,More Risk,Y,C,Public 2 - 3 Yrs,5,0.11,0,0.65,0.35,15080,0.8,50673,0.24,0.8,0.2,21,30,9333.6,4739,1372,2050,2942,3653,4780,6405,7442,11928,20134,167064,1027865,254,747025.68,786385.39,852608.29,896507.37,918786.37,0.27,0.24,0.17,0.13,0.11,0.2,0.23,0.3,0.36,0.44,203122.01,220933.01,228467.01,141334.01,93556.01,84705.06,112450.99,103972.55,138890,158967,0,10723,9397,8868,0,0,0.06,0.06,0.09,0.08,159,0.21,0.31,130969.17,168779.85
101600,UNIVERSITY OF NORTH ALABAMA,0.6875,More Risk,Y,P,Public 4 Yrs or More,5,0.53,0.42,0.52,0.48,21098,0.63,56103,0.25,0.66,0.34,23,30,22642.92,17393.5,3500,6214,9356,13486,17423,21157,26617,35927,48209,185948,16897912.51,1229,12673588.9,12854796.48,13779009.09,15163537.95,15628855.74,0.25,0.23,0.18,0.1,0.08,0.24,0.27,0.34,0.35,0.41,1791226.22,1881726.05,1812972.95,1558005.22,1078023.41,1008601.02,1215157.53,1845771.04,2152526.3,3170119.3,52312,121589,114399,55136,147920,0.04,0.05,0.06,0.06,0.1,828,0.15,0.27,1842913.39,2439763.44
101900,HUNTINGDON COLLEGE,0.5625,Moderate Risk,Y,C,PNP 4 Yrs or More,5,0.56,0.46,0.39,0.61,21811.5,0.64,49707,0.27,0.63,0.37,23,29,21561.5,18377.5,4073,7279,12855,15843,18521,22544,26514,33267,42112,89233,3271063.67,246,2621884.73,2695730.44,2748728.33,2973991.91,3015156.28,0.2,0.17,0.16,0.09,0.08,0.26,0.28,0.32,0.34,0.42,418562.87,406714.73,320533,308600,295626,351921.13,351731.62,527021.11,422445.4,527748.81,1629,2560,947,1347,1602,0,0.05,0,0.05,0.08,146,0.06,0.22,466359.74,602612.59
102000,JACKSONVILLE STATE UNIVERSITY,0.4375,Less Risk,Y,C,Public 4 Yrs or More,5,0.4,0.31,0.58,0.42,23325,0.58,43072,0.38,0.69,0.31,22,30,27443.09,17839,3600,6500,9448,13120,17850,22964,31086,43623,62091,205442,33458005.41,2111,30676776.69,30840268,30978352.45,32518141.88,32622576.32,0.08,0.08,0.07,0.03,0.02,0.4,0.42,0.47,0.49,0.59,3532675.32,3087231.38,2969962.46,2627398.55,1821063,2835184.92,2560738.53,4238053.83,5192083.99,6383520.79,163160.95,109351,93255,59639,132748,0.08,0.09,0.09,0.1,0.1,1043,-0.02,0.11,6668415.77,8294047.45
102200,JEFFERSON STATE COMMUNITY COLLEGE,0.4375,Less Risk,Y,C,Public 2 - 3 Yrs,5,0.28,0.19,0.63,0.37,22482.5,0.63,55428,0.23,0.69,0.31,22,30.5,9461.61,5704,1626,1825,3366,4289,5705,7875,10486,14276,20811,118982,3685021.33,802,2870083.62,2957543.06,3108226.34,3178432.9,3280701.54,0.22,0.2,0.16,0.14,0.11,0.19,0.24,0.36,0.25,0.24,385648.47,390318.54,413366.92,326010.99,237627,240709.5,373934.59,412830.43,365853.99,387656.32,3776,8595,3554,5296,0,0.14,0.22,0.19,0.18,0.19,494,0.1,0.24,425405.2,572775.35
102300,JUDSON COLLEGE,0.5,Moderate Risk,Y,C,PNP 4 Yrs or More,5,0.37,0.19,0.34,0.66,26504.5,0.53,44567,0.33,0.71,0.29,22,27.5,18280.99,13806,2805,5929,9094,11835,13911,17655,20720,27162,37062,114304,909280,93,659016.06,675405.47,709637.22,750332.98,823771.42,0.28,0.26,0.22,0.17,0.09,0.3,0.3,0.37,0.3,0.27,86046.06,78643.06,96868,59182,15246,23670.79,50088.79,154550.79,265368.02,254787.99,0,0,0,0,0,0,0,0,0,0,62,0.14,0.29,94760.15,127330
102400,UNIVERSITY OF WEST ALABAMA,0.4375,Less Risk,Y,P,Public 4 Yrs or More,5,0.46,0.14,0.81,0.19,32596,0.43,37243,0.46,0.54,0.46,23,32,42206.19,29986,6345,11701,16744,22440,29979,39091,49709,68534,96505,260728,28546679.97,1409,24443340.66,24721834.15,25106493.33,26851079.07,27069206.03,0.14,0.13,0.12,0.06,0.05,0.35,0.41,0.45,0.46,0.52,3296161.06,2950014.41,2332026.91,1981747.74,1462977,2081210.44,2450499.64,4032857.8,4781338.46,5044646.28,105439,116221,47928,49354,48054,0.05,0.07,0.07,0.07,0.08,781,0,0.14,4571199.55,5822489.67
102600,MARION MILITARY INSTITUTE,0.8125,Most Risk,Y,P,Public 2 - 3 Yrs,5,0.31,0.28,0.15,0.85,1344,1,55070.5,0.28,0.74,0.26,21,23,9045.56,5508,2625,3000,3511,3762,5500,6462,8995,13552,20670,41788,374329,80,253237.48,261828.72,281081.19,311546.95,343369,0.32,0.3,0.25,0.17,0.08,0.21,0.19,0.2,0.33,0.51,67864.26,81322.26,73863,65958,52072,50372,52744,55503.07,97324.07,103689,0,0,0,0,0,0,0,0,0,0,51,0.28,0.34,47094.29,59133.03
102800,MILES COLLEGE,0.3125,Less Risk,Y,C,PNP 4 Yrs or More,2,0.06,0,0.43,0.57,9414,0.9,19707.5,0.69,0.94,0.06,22,27,19659.12,14948.5,4577,7100,9440,12284,14955,19158,23977,30375,40879,144644,7529588.06,757,7770407,7697720.83,7765775.7,7571652.11,7390636.46,-0.03,-0.02,-0.03,-0.01,0.02,0.27,0.34,0.61,0.47,0.49,2694275.45,2655520.43,2382856.72,1361570.79,970829.12,720174.7,930397.03,855467,705998.29,778543.76,15426,90235.14,80379.28,0,0,0.19,0.27,0.24,0.22,0.21,193,-0.07,-0.02,1703180.42,2176188.92
102900,UNIVERSITY OF MOBILE,0.375,Less Risk,Y,C,PNP 4 Yrs or More,5,0.54,0.43,0.69,0.31,21231,0.62,57606,0.22,0.67,0.33,23,34,34465.58,27139,6603,12453,17307,21805,27139,35024,42636,50434,65567,170484,9282275.68,491,8871197.83,8853224.35,8933925.8,9159508.72,9135552.86,0.04,0.05,0.04,0.01,0.02,0.43,0.41,0.48,0.49,0.57,773860.59,612401.02,631463.59,456230,290782,783014.71,699193.26,998886.63,1830361.11,1513773.89,11331,6739,0,0,0,0.1,0.11,0.1,0.12,0.11,231,-0.04,0.08,1973361.27,2452397.62
103100,NORTHEAST ALABAMA COMMUNITY COLLEGE,0.625,More Risk,Y,C,Public 2 - 3 Yrs,5,0.2,0.13,0.72,0.28,20331.5,0.65,49852,0.26,0.81,0.19,21,32,7482.24,5080,1200,1750,3262,3606,5080,6831,8800,11367,15871,58193,1470843,321,1044125.76,1096513.9,1165408.73,1242018.06,1327026.52,0.29,0.25,0.21,0.16,0.1,0.23,0.26,0.3,0.29,0.42,275726.9,295462.9,289784.34,257104,159475,74809.29,72299.45,120952.45,142293.54,245259.54,1795,9854,8237,0,3480,0,0.06,0.07,0.06,0.06,211,0.23,0.34,154873.42,202179.75
103300,OAKWOOD UNIVERSITY,0.4375,Less Risk,Y,C,PNP 4 Yrs or More,2,0.27,0.19,0.37,0.63,5713,0.87,46438,0.36,0.78,0.22,23,27,26895.96,19668,4851,8069,11641,15002,19812,26461,33601,41680,51946,152066,7180986.61,443,6846054.87,6814149.83,6763717.65,7231505.08,7202256.38,0.05,0.05,0.06,-0.01,0,0.42,0.47,0.55,0.56,0.72,1345635.87,1116119.33,1023036.05,720537,391769,1103466.46,1100009.84,1638148.91,1845159.6,2478079.01,0,0,0,0,0,0.05,0.1,0.11,0.14,0.14,160,-0.05,0.04,1408347.93,1796304.7
103600,SAMFORD UNIVERSITY,0.8125,Most Risk,Y,C,PNP 4 Yrs or More,5,0.69,0.53,0.78,0.22,10678,0.71,80913,0.11,0.26,0.74,23,27,74921.62,70868,12464,24363,38258,55197,70868,86634,105052,124620,143018,245773,36135008.07,1369,23949721.93,25108732.91,27172673.23,30997110.19,32899365.47,0.34,0.31,0.25,0.14,0.09,0.17,0.19,0.24,0.3,0.26,437295.31,317205.66,303608.33,173437.04,77883,944039.01,968819.76,1657426.04,2717075.5,4064194,13833.36,50543,96399,0,3208,0.03,0.05,0.06,0.08,0.1,985,0.32,0.38,4021352.53,5123621.59
104000,SOUTHERN UNION STATE COMMUNITY COLLEGE,0.625,More Risk,Y,C,Public 2 - 3 Yrs,5,0.3,0.23,0.49,0.51,17500,0.76,52760,0.28,0.73,0.27,22,30,11691.65,7021,1715,2922,3619,5292,7125,9645,13250,17870,26602,146560,4199306.43,776,3179209.14,3292805.09,3466858.59,3702750.33,3826358.09,0.24,0.22,0.18,0.12,0.09,0.24,0.23,0.31,0.33,0.43,917999.95,915081.81,762808.7,607914.48,402639.74,371662.48,370160.78,567122.7,663873.81,859392,0,9080,12898.05,6051,13904,0.04,0.05,0.06,0.06,0.07,500,0.15,0.27,492294.69,653509.89
104100,SPRING HILL COLLEGE,0.75,Most Risk,Y,P,PNP 4 Yrs or More,5,0.54,0.4,0.36,0.64,17865,0.69,74894,0.23,0.52,0.48,23,31,30015.16,22537.5,5273,10606,16190,19327,22563,28214,34450,44142,56650,173143,5495709.31,352,4075756.27,4185702.49,4367696.57,4896043.93,5137685.97,0.26,0.24,0.21,0.11,0.07,0.26,0.27,0.29,0.34,0.41,365603.62,315300.35,377944.6,299471,265246,445430.25,439790.97,744257.76,1038040.32,1268452.16,18255,5404,0,31904,25943,0.05,0.07,0.07,0.1,0.12,236,0.15,0.27,615902.6,809829.48
104400,STILLMAN COLLEGE,0.25,Less Risk,Y,P,PNP 4 Yrs or More,2,0.27,0.2,0.33,0.67,4269,0.89,22806,0.67,0.9,0.1,22,26,25516.91,20079,6250,9250,12250,15974,20375,26477,33136,40826,51136,118273,5022615.12,346,5656971.3,5634457.98,5590917.5,5470193.58,5179757.48,-0.13,-0.12,-0.11,-0.09,-0.03,0.48,0.53,0.71,0.76,0.55,1547517.35,1278352.51,1170198.74,593454.23,278566,586754.7,785472.52,890607.74,846586.8,843327.44,0,0,7508,0,4522,0.06,0.07,0.09,0.08,0.04,72,-0.13,-0.12,1503651.31,1828627.18
104600,TALLADEGA COLLEGE,0.375,Less Risk,Y,P,PNP 4 Yrs or More,2,0,0,0.29,0.71,0,1,21737,0.65,0,0,21,24,19374.15,13485,3717,6637,9708,10743,14450,18375,22624,25878,39440,106394,748111,73,811487.4,788527.48,809185.46,770090.48,780776.12,-0.08,-0.05,-0.08,-0.03,-0.04,0.41,0.48,0.52,0.66,0.85,251526.49,219696.44,186343,108368,79504,56946.39,49970.39,133843.03,166299,90452,0,0,0,0,0,0,0,0,0,0,13,-0.11,-0.08,190860.69,239296.46
